Opened PDF: d:\coreminds\parsing\pdf-parser-python\uploads\c1f6f5ec-a39d-4a08-a68b-94274cba938c_PL-300-khhiih.pdf
Pages: 528

--- Page 4 ---
  get_images(full=True) count: 1051
    Image 85: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 86: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 87: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 88: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 89: xref=1343, w=1031, h=450, ext=jpeg, size=22641 bytes
    Image 90: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 91: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 92: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 93: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 94: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 95: xref=1106, w=652, h=148, ext=jpeg, size=13387 bytes
    Image 96: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 97: xref=1349, w=836, h=524, ext=jpeg, size=48111 bytes
    Image 98: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 99: xref=1351, w=818, h=537, ext=jpeg, size=44607 bytes
    Image 100: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 101: xref=1353, w=622, h=331, ext=jpeg, size=22260 bytes
    Image 102: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 103: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 104: xref=1356, w=527, h=217, ext=png, size=9481 bytes
    Image 105: xref=1357, w=526, h=204, ext=jpeg, size=20008 bytes
    Image 106: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 107: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 108: xref=1360, w=622, h=661, ext=jpeg, size=22781 bytes
    Image 109: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 110: xref=1362, w=235, h=299, ext=jpeg, size=10484 bytes
    Image 111: xref=1363, w=239, h=297, ext=jpeg, size=10466 bytes
    Image 112: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 113: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 114: xref=1366, w=373, h=539, ext=jpeg, size=28963 bytes
    Image 115: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 116: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 117: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 118: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 119: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 120: xref=1371, w=903, h=502, ext=jpeg, size=91698 bytes
    Image 121: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 122: xref=1373, w=851, h=497, ext=png, size=29269 bytes
    Image 123: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 124: xref=1375, w=913, h=485, ext=jpeg, size=19463 bytes
    Image 125: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 126: xref=1377, w=810, h=337, ext=png, size=21451 bytes
    Image 127: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 128: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 129: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 130: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 131: xref=1109, w=718, h=293, ext=jpeg, size=37969 bytes
    Image 132: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 133: xref=1382, w=756, h=301, ext=png, size=11431 bytes
    Image 134: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 135: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 136: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 137: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 138: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 139: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 140: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 141: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 142: xref=1391, w=543, h=463, ext=png, size=15258 bytes
    Image 143: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 144: xref=1393, w=541, h=492, ext=png, size=15508 bytes
    Image 145: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 146: xref=1111, w=576, h=274, ext=jpeg, size=29688 bytes
    Image 147: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 148: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 149: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 150: xref=1397, w=376, h=310, ext=jpeg, size=10405 bytes
    Image 151: xref=1398, w=370, h=290, ext=jpeg, size=9952 bytes
    Image 152: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 153: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 154: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 155: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 156: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 157: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 158: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 159: xref=1406, w=805, h=157, ext=jpeg, size=20843 bytes
    Image 160: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 161: xref=1113, w=658, h=145, ext=jpeg, size=14501 bytes
    Image 162: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 163: xref=1408, w=770, h=411, ext=jpeg, size=25955 bytes
    Image 164: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 165: xref=1410, w=747, h=664, ext=jpeg, size=41069 bytes
    Image 166: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 167: xref=1412, w=752, h=269, ext=jpeg, size=30321 bytes
    Image 168: xref=1413, w=750, h=264, ext=jpeg, size=30408 bytes
    Image 169: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 170: xref=1415, w=763, h=549, ext=jpeg, size=27048 bytes
    Image 171: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 172: xref=1417, w=764, h=561, ext=jpeg, size=26936 bytes
    Image 173: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 174: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 175: xref=1420, w=1156, h=549, ext=jpeg, size=27816 bytes
    Image 176: xref=1421, w=709, h=244, ext=jpeg, size=17288 bytes
    Image 177: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 178: xref=1423, w=704, h=250, ext=jpeg, size=17059 bytes
    Image 179: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 180: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 181: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 182: xref=1083, w=438, h=501, ext=jpeg, size=36805 bytes
    Image 183: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 184: xref=1115, w=1029, h=282, ext=jpeg, size=13470 bytes
    Image 185: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 186: xref=1427, w=724, h=658, ext=jpeg, size=26701 bytes
    Image 187: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 188: xref=1429, w=720, h=579, ext=jpeg, size=27277 bytes
    Image 189: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 190: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 191: xref=1432, w=641, h=308, ext=jpeg, size=15041 bytes
    Image 192: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 193: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 194: xref=1435, w=561, h=129, ext=jpeg, size=3273 bytes
    Image 195: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 196: xref=1435, w=561, h=129, ext=jpeg, size=3273 bytes
    Image 197: xref=1437, w=819, h=92, ext=jpeg, size=4845 bytes
    Image 198: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 199: xref=1439, w=746, h=247, ext=jpeg, size=8056 bytes
    Image 200: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 201: xref=1441, w=389, h=109, ext=jpeg, size=8331 bytes
    Image 202: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 203: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 204: xref=1117, w=468, h=163, ext=png, size=3327 bytes
    Image 205: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 206: xref=1444, w=435, h=163, ext=jpeg, size=12178 bytes
    Image 207: xref=1445, w=717, h=174, ext=jpeg, size=7986 bytes
    Image 208: xref=1446, w=729, h=187, ext=jpeg, size=8057 bytes
    Image 209: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
